GROUP	OVERALL_INDEX	GO_LABEL	AUC	RECALL	ACCURACY	SPECIFICITY	PRECISION(PPV)	OPTIMAL THRESHOLD	G-MEAN	N_PROTEINS_TRAINING
3	69	GO0051493_regulation_of_cytoskeleton_organization	0.758	0.711	0.707	0.707	0.019	0.008	0.709	90
7	73	GO0006414_translational_elongation	0.753	0.716	0.663	0.662	0.024	0.011	0.689	134
7	74	GO0006412_translation	0.753	0.716	0.663	0.662	0.024	0.011	0.689	134
4	83	GO0015079_potassium_ion_transmembrane_transporter_activity	0.751	0.726	0.676	0.676	0.02	0.01	0.701	106
6	84	GO0006366_transcription_by_RNA_polymerase_II	0.751	0.707	0.685	0.682	0.215	0.104	0.694	1280
3	85	GO0042073_intraciliary_transport	0.751	0.702	0.685	0.684	0.018	0.009	0.693	94
5	86	GO0019935_cyclic_nucleotide_mediated_signaling	0.75	0.709	0.715	0.715	0.022	0.01	0.712	103
8	88	GO0043043_peptide_biosynthetic_process	0.749	0.741	0.634	0.633	0.023	0.011	0.685	135
3	89	GO0030705_cytoskeleton_dependent_intracellular_transport	0.749	0.705	0.686	0.686	0.026	0.013	0.695	139
4	93	GO0055074_calcium_ion_homeostasis	0.746	0.701	0.692	0.692	0.019	0.009	0.696	97
8	96	GO0010557_positive_regulation_of_macromolecule_biosynthetic_process	0.745	0.752	0.631	0.629	0.039	0.018	0.688	226
6	97	GO0000122_negative_regulation_of_transcription_by_RNA_polymerase_II	0.745	0.741	0.655	0.653	0.042	0.02	0.696	232
2	101	GO0061512_protein_localization_to_cilium	0.744	0.724	0.651	0.65	0.017	0.008	0.686	98
8	103	GO0035639_purine_ribonucleoside_triphosphate_binding	0.743	0.711	0.653	0.653	0.017	0.008	0.681	97
8	104	GO0043604_amide_biosynthetic_process	0.743	0.708	0.668	0.667	0.028	0.014	0.687	154
8	105	GO0009891_positive_regulation_of_biosynthetic_process	0.743	0.706	0.675	0.674	0.042	0.019	0.69	231
8	106	GO0031328_positive_regulation_of_cellular_biosynthetic_process	0.743	0.706	0.675	0.674	0.042	0.019	0.69	231
8	110	GO0008234_cysteine_type_peptidase_activity	0.741	0.708	0.664	0.663	0.016	0.008	0.685	89
6	116	GO1903507_negative_regulation_of_nucleic_acid_templated_transcription	0.738	0.753	0.632	0.63	0.046	0.023	0.688	267
6	117	"GO0045892_negative_regulation_of_transcription,_DNA_templated"	0.738	0.753	0.632	0.63	0.046	0.023	0.688	267
8	118	GO1902679_negative_regulation_of_RNA_biosynthetic_process	0.738	0.753	0.632	0.63	0.046	0.023	0.688	267
5	123	GO0007186_G_protein_coupled_receptor_signaling_pathway	0.736	0.701	0.678	0.677	0.043	0.021	0.689	234
9	133	GO0006955_immune_response	0.732	0.747	0.612	0.61	0.024	0.013	0.675	146
4	134	GO0004888_transmembrane_signaling_receptor_activity	0.732	0.729	0.619	0.616	0.054	0.029	0.67	339
8	138	GO0045934_negative_regulation_of_nucleobase_containing_compound_metabolic_process	0.73	0.734	0.635	0.632	0.049	0.025	0.681	290
9	147	GO0042330_taxis	0.726	0.786	0.56	0.558	0.015	0.008	0.662	98
4	148	GO0008283_cell_population_proliferation	0.726	0.752	0.632	0.631	0.02	0.01	0.689	117
7	149	GO0032555_purine_ribonucleotide_binding	0.726	0.716	0.665	0.665	0.021	0.01	0.69	116
5	150	GO0007167_enzyme_linked_receptor_protein_signaling_pathway	0.726	0.703	0.649	0.648	0.039	0.021	0.675	229
9	158	GO0008047_enzyme_activator_activity	0.723	0.761	0.582	0.579	0.021	0.011	0.664	138
7	164	GO0010608_posttranscriptional_regulation_of_gene_expression	0.721	0.711	0.614	0.614	0.014	0.007	0.661	90
8	165	GO0061630_ubiquitin_protein_ligase_activity	0.721	0.708	0.67	0.67	0.019	0.01	0.688	106
4	169	GO0006875_cellular_metal_ion_homeostasis	0.718	0.719	0.617	0.616	0.019	0.011	0.665	121
9	170	GO0048667_cell_morphogenesis_involved_in_neuron_differentiation	0.717	0.702	0.651	0.65	0.019	0.01	0.675	114
8	175	GO0016791_phosphatase_activity	0.716	0.748	0.595	0.593	0.021	0.012	0.666	135
9	176	GO0042327_positive_regulation_of_phosphorylation	0.716	0.725	0.599	0.597	0.02	0.012	0.658	131
9	177	GO0007155_cell_adhesion	0.716	0.709	0.623	0.622	0.032	0.018	0.664	199
9	178	GO0022610_biological_adhesion	0.716	0.709	0.623	0.622	0.032	0.018	0.664	199
2	187	GO0051640_organelle_localization	0.712	0.749	0.579	0.576	0.028	0.016	0.657	187
8	188	GO0061659_ubiquitin_like_protein_ligase_activity	0.712	0.714	0.646	0.645	0.019	0.01	0.679	112
9	192	GO0033218_amide_binding	0.711	0.742	0.552	0.55	0.018	0.01	0.639	128
5	201	GO0060089_molecular_transducer_activity	0.705	0.724	0.586	0.579	0.081	0.05	0.647	568
5	202	GO0038023_signaling_receptor_activity	0.705	0.724	0.586	0.579	0.081	0.05	0.647	568
9	208	GO2000026_regulation_of_multicellular_organismal_development	0.704	0.768	0.566	0.564	0.015	0.008	0.658	99
5	212	GO0019932_second_messenger_mediated_signaling	0.703	0.75	0.586	0.584	0.022	0.012	0.662	144
9	213	GO0046903_secretion	0.703	0.713	0.593	0.592	0.016	0.009	0.65	108
4	225	GO0030003_cellular_cation_homeostasis	0.697	0.763	0.577	0.574	0.021	0.012	0.662	139
9	235	GO0080134_regulation_of_response_to_stress	0.693	0.835	0.493	0.491	0.013	0.007	0.64	91
9	243	GO0044093_positive_regulation_of_molecular_function	0.691	0.702	0.612	0.61	0.041	0.024	0.654	272
4	272	GO0006816_calcium_ion_transport	0.682	0.75	0.558	0.557	0.012	0.007	0.646	80
2	278	GO0098794_postsynapse	0.68	0.74	0.544	0.542	0.017	0.01	0.633	123
9	279	GO0009719_response_to_endogenous_stimulus	0.68	0.71	0.561	0.559	0.022	0.014	0.63	162
9	331	GO0003008_system_process	0.658	0.779	0.495	0.491	0.019	0.013	0.619	145
5	349	GO0010647_positive_regulation_of_cell_communication	0.65	0.702	0.531	0.528	0.024	0.017	0.609	191
5	350	GO0023056_positive_regulation_of_signaling	0.65	0.702	0.531	0.528	0.024	0.017	0.609	191
9	360	GO0060090_molecular_adaptor_activity	0.647	0.773	0.498	0.496	0.012	0.008	0.619	88
8	390	GO0009057_macromolecule_catabolic_process	0.636	0.777	0.471	0.464	0.034	0.023	0.6	278
9	459	GO0008219_cell_death	0.602	0.709	0.454	0.45	0.019	0.015	0.565	175
